title,author,price,publisher,isbn,contributor,date,rank,rank_last_week,weeks_on_list
A WORLD OF CURIOSITIES,Louise Penny,0.00,Minotaur,1250145317,by Louise Penny,2022-12-18,1,0,1
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-18,2,1,7
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-18,3,3,77
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-18,4,4,52
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-18,5,6,7
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-18,6,10,4
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-18,7,9,13
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-18,8,5,189
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-12-18,9,0,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-18,10,7,47
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-12-18,11,0,4
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-18,12,12,74
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-18,13,14,4
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272726,by Nora Roberts,2022-12-18,14,2,2
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-18,15,15,8
A WORLD OF CURIOSITIES,Louise Penny,0.00,Minotaur,1250145317,by Louise Penny,2022-12-17,1,0,1
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-17,2,1,7
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-17,3,3,77
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-17,4,4,52
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-17,5,6,7
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-17,6,10,4
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-17,7,9,13
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-17,8,5,189
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-12-17,9,0,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-17,10,7,47
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-12-17,11,0,4
